,year_month,variable,value
0,2017_4,2017_4_SPI,0.23
1,2017_4,soil_bulk_density,0.19
2,2017_4,field_capacity,0.18
3,2017_4,2017_4_soil_moister,0.14
4,2017_4,2017_4_drought_index,0.08
5,2017_4,soil_type_Durixeralfs,0.02
6,2017_4,soil_type_Fragiaqualfs,0.02
7,2017_4,soil_type_Fragiudalfs,0.02
8,2017_4,soil_type_Endoaqualfs,0.01
9,2017_4,soil_type_Fragixeralfs,0.01
10,2017_4,soil_type_Fraglossudalfs,0.01
11,2017_4,soil_type_Glossaqualfs,0.01
12,2017_4,soil_type_Glossocryalfs,0.01
13,2017_4,soil_type_Glossudalfs,0.01
14,2017_4,soil_type_Haplocryalfs,0.01
15,2017_4,soil_type_Haploxeralfs,0.01
16,2017_4,soil_type_Hapludalfs,0.01
17,2017_4,soil_type_Haplustalfs,0.01
18,2017_4,soil_type_Albaqualfs,0.0
19,2017_4,soil_type_Cryaqualfs,0.0
20,2017_4,soil_type_Epiaqualfs,0.0
21,2017_4,soil_type_Eutroboralfs,0.0
22,2017_4,soil_type_Natraqualfs,0.0
23,2017_4,soil_type_Natrixeralfs,0.0
24,2017_4,soil_type_Natrudalfs,0.0
25,2017_4,soil_type_Natrustalfs,0.0
26,2017_4,soil_type_Palecryalfs,0.0
27,2017_4,soil_type_Paleudalfs,0.0
28,2017_4,soil_type_Paleustalfs,0.0
29,2017_4,soil_type_Palexeralfs,0.0
30,2017_4,soil_type_Rhodustalfs,0.0
31,2017_4,soil_type_Vermaqualfs,0.0
0,2017_5,2017_5_SPI,0.22
1,2017_5,soil_bulk_density,0.21
2,2017_5,field_capacity,0.16
3,2017_5,2017_5_soil_moister,0.15
4,2017_5,2017_5_drought_index,0.06
5,2017_5,soil_type_Cryaqualfs,0.05
6,2017_5,soil_type_Durixeralfs,0.05
7,2017_5,soil_type_Endoaqualfs,0.02
8,2017_5,soil_type_Fragiudalfs,0.02
9,2017_5,soil_type_Epiaqualfs,0.01
10,2017_5,soil_type_Fragiaqualfs,0.01
11,2017_5,soil_type_Fragixeralfs,0.01
12,2017_5,soil_type_Glossaqualfs,0.01
13,2017_5,soil_type_Glossudalfs,0.01
14,2017_5,soil_type_Natrixeralfs,0.01
15,2017_5,soil_type_Albaqualfs,0.0
16,2017_5,soil_type_Eutroboralfs,0.0
17,2017_5,soil_type_Fraglossudalfs,0.0
18,2017_5,soil_type_Glossocryalfs,0.0
19,2017_5,soil_type_Haplocryalfs,0.0
20,2017_5,soil_type_Haploxeralfs,0.0
21,2017_5,soil_type_Hapludalfs,0.0
22,2017_5,soil_type_Haplustalfs,0.0
23,2017_5,soil_type_Natraqualfs,0.0
24,2017_5,soil_type_Natrudalfs,0.0
25,2017_5,soil_type_Natrustalfs,0.0
26,2017_5,soil_type_Palecryalfs,0.0
27,2017_5,soil_type_Paleudalfs,0.0
28,2017_5,soil_type_Paleustalfs,0.0
29,2017_5,soil_type_Palexeralfs,0.0
30,2017_5,soil_type_Rhodustalfs,0.0
31,2017_5,soil_type_Vermaqualfs,0.0
0,2017_6,soil_bulk_density,0.29
1,2017_6,2017_6_SPI,0.18
2,2017_6,2017_6_soil_moister,0.15
3,2017_6,soil_type_Cryaqualfs,0.12
4,2017_6,field_capacity,0.1
5,2017_6,soil_type_Durixeralfs,0.04
6,2017_6,2017_6_drought_index,0.02
7,2017_6,soil_type_Endoaqualfs,0.02
8,2017_6,soil_type_Fragiaqualfs,0.01
9,2017_6,soil_type_Fragiudalfs,0.01
10,2017_6,soil_type_Fragixeralfs,0.01
11,2017_6,soil_type_Glossaqualfs,0.01
12,2017_6,soil_type_Glossudalfs,0.01
13,2017_6,soil_type_Haploxeralfs,0.01
14,2017_6,soil_type_Epiaqualfs,0.0
15,2017_6,soil_type_Eutroboralfs,0.0
16,2017_6,soil_type_Fraglossudalfs,0.0
17,2017_6,soil_type_Glossocryalfs,0.0
18,2017_6,soil_type_Haplocryalfs,0.0
19,2017_6,soil_type_Hapludalfs,0.0
20,2017_6,soil_type_Haplustalfs,0.0
21,2017_6,soil_type_Natraqualfs,0.0
22,2017_6,soil_type_Natrixeralfs,0.0
23,2017_6,soil_type_Natrudalfs,0.0
24,2017_6,soil_type_Natrustalfs,0.0
25,2017_6,soil_type_Palecryalfs,0.0
26,2017_6,soil_type_Paleudalfs,0.0
27,2017_6,soil_type_Paleustalfs,0.0
28,2017_6,soil_type_Palexeralfs,0.0
29,2017_6,soil_type_Rhodustalfs,0.0
30,2017_6,soil_type_Vermaqualfs,0.0
0,2017_7,2017_7_SPI,0.22
1,2017_7,2017_7_soil_moister,0.21
2,2017_7,soil_bulk_density,0.2
3,2017_7,field_capacity,0.13
4,2017_7,soil_type_Durixeralfs,0.09
5,2017_7,2017_7_drought_index,0.06
6,2017_7,soil_type_Epiaqualfs,0.01
7,2017_7,soil_type_Fragiaqualfs,0.01
8,2017_7,soil_type_Fragiudalfs,0.01
9,2017_7,soil_type_Glossaqualfs,0.01
10,2017_7,soil_type_Glossocryalfs,0.01
11,2017_7,soil_type_Haplocryalfs,0.01
12,2017_7,soil_type_Haploxeralfs,0.01
13,2017_7,soil_type_Hapludalfs,0.01
14,2017_7,soil_type_Cryaqualfs,0.0
15,2017_7,soil_type_Endoaqualfs,0.0
16,2017_7,soil_type_Eutroboralfs,0.0
17,2017_7,soil_type_Fragixeralfs,0.0
18,2017_7,soil_type_Fraglossudalfs,0.0
19,2017_7,soil_type_Glossudalfs,0.0
20,2017_7,soil_type_Haplustalfs,0.0
21,2017_7,soil_type_Natraqualfs,0.0
22,2017_7,soil_type_Natrixeralfs,0.0
23,2017_7,soil_type_Natrudalfs,0.0
24,2017_7,soil_type_Natrustalfs,0.0
25,2017_7,soil_type_Palecryalfs,0.0
26,2017_7,soil_type_Paleudalfs,0.0
27,2017_7,soil_type_Paleustalfs,0.0
28,2017_7,soil_type_Palexeralfs,0.0
29,2017_7,soil_type_Rhodustalfs,0.0
30,2017_7,soil_type_Vermaqualfs,0.0
0,2017_8,2017_8_SPI,0.24
1,2017_8,soil_bulk_density,0.18
2,2017_8,2017_8_soil_moister,0.16
3,2017_8,field_capacity,0.14
4,2017_8,2017_8_drought_index,0.07
5,2017_8,soil_type_Durixeralfs,0.07
6,2017_8,soil_type_Cryaqualfs,0.05
7,2017_8,soil_type_Endoaqualfs,0.02
8,2017_8,soil_type_Fragiaqualfs,0.01
9,2017_8,soil_type_Fragiudalfs,0.01
10,2017_8,soil_type_Glossaqualfs,0.01
11,2017_8,soil_type_Glossocryalfs,0.01
12,2017_8,soil_type_Haplocryalfs,0.01
13,2017_8,soil_type_Albaqualfs,0.0
14,2017_8,soil_type_Epiaqualfs,0.0
15,2017_8,soil_type_Eutroboralfs,0.0
16,2017_8,soil_type_Fragixeralfs,0.0
17,2017_8,soil_type_Fraglossudalfs,0.0
18,2017_8,soil_type_Glossudalfs,0.0
19,2017_8,soil_type_Haploxeralfs,0.0
20,2017_8,soil_type_Hapludalfs,0.0
21,2017_8,soil_type_Haplustalfs,0.0
22,2017_8,soil_type_Natraqualfs,0.0
23,2017_8,soil_type_Natrixeralfs,0.0
24,2017_8,soil_type_Natrudalfs,0.0
25,2017_8,soil_type_Natrustalfs,0.0
26,2017_8,soil_type_Palecryalfs,0.0
27,2017_8,soil_type_Paleudalfs,0.0
28,2017_8,soil_type_Paleustalfs,0.0
29,2017_8,soil_type_Palexeralfs,0.0
30,2017_8,soil_type_Rhodustalfs,0.0
31,2017_8,soil_type_Vermaqualfs,0.0
0,2017_9,2017_9_SPI,0.26
1,2017_9,2017_9_soil_moister,0.19
2,2017_9,soil_bulk_density,0.19
3,2017_9,field_capacity,0.16
4,2017_9,2017_9_drought_index,0.07
5,2017_9,soil_type_Epiaqualfs,0.01
6,2017_9,soil_type_Fragiaqualfs,0.01
7,2017_9,soil_type_Fragiudalfs,0.01
8,2017_9,soil_type_Fragixeralfs,0.01
9,2017_9,soil_type_Fraglossudalfs,0.01
10,2017_9,soil_type_Glossaqualfs,0.01
11,2017_9,soil_type_Glossocryalfs,0.01
12,2017_9,soil_type_Glossudalfs,0.01
13,2017_9,soil_type_Haplocryalfs,0.01
14,2017_9,soil_type_Haploxeralfs,0.01
