Value,Color,Description
0,FFFFFF,NODATA
1,ADFF2D,Albaqualfs
2,ADFF22,Cryaqualfs
4,A5FF2F,Durixeralfs
6,87FF37,Endoaqualfs
7,BAF019,Epiaqualfs
9,87FF19,Fragiaqualfs
10,96F03D,Fragiudalfs
11,A3F52F,Fragixeralfs
12,AFF319,Fraglossudalfs
13,91FF37,Glossaqualfs
14,9CF319,Glossocryalfs
15,9BFF37,Glossudalfs
16,91FF19,Haplocryalfs
17,71FF37,Haploxeralfs
18,86FF19,Hapludalfs
19,A9D42D,Haplustalfs
25,AFF519,Natraqualfs
26,9BFF19,Natrixeralfs
27,9AF024,Natrudalfs
28,A5FD2F,Natrustalfs
29,88FF37,Palecryalfs
30,AFED19,Paleudalfs
31,71FF19,Paleustalfs
32,AFF026,Palexeralfs
38,8CF537,Rhodustalfs
39,B7FF19,Vermaqualfs
41,7177C0,Eutroboralfs
42,9A85EC,Ochraqualfs
43,F5F5E1,Glossoboralfs
44,52CF5A,Cryoboralfs
45,E42777,Natriboralfs
46,4EF76D,Paleboralfs
50,FF00FB,Cryaquands
58,EB05EB,Fulvicryands
59,FA04FA,Fulvudands
61,FC04F5,Haplocryands
63,F50DF0,Haploxerands
64,F118F1,Hapludands
74,FA0CFA,Udivitrands
75,FC05E1,Ustivitrands
76,F100D5,Vitraquands
77,EB09E6,Vitricryands
80,FA22FA,Vitrixerands
82,FFDAB9,Aquicambids
83,F5D2BB,Aquisalids
85,E8C9B8,Argidurids
86,FFDDC4,Argigypsids
87,E7CBC0,Calciargids
89,FFD2C3,Calcigypsids
90,F5D6BB,Gypsiargids
92,D5D3B9,Haplargids
93,E8D4B8,Haplocalcids
94,E7CDC0,Haplocambids
96,F3EAC8,Haplodurids
97,A0C4BA,Haplogypsids
98,FFD2B9,Haplosalids
99,F5DABB,Natrargids
100,F5D5B9,Natridurids
101,E8EBB8,Natrigypsids
102,FFDDC2,Paleargids
103,E7FFC0,Petroargids
104,F3E6C8,Petrocalcids
105,FFDAB9,Petrocambids
107,F5CDB9,Petrogypsids
110,A91D30,Calciorthids
111,796578,Camborthids
112,D8FF6E,Paleorthids
113,177548,Durorthids
114,43EFD6,Durargids
115,8496A9,Gypsiorthids
116,296819,Nadurargids
118,73FFD4,Cryaquents
119,6FFFC8,Cryofluvents
120,75FBC9,Cryopsamments
121,86F5D1,Cryorthents
122,82FFD2,Endoaquents
123,88EEC8,Epiaquents
124,80FFD4,Fluvaquents
126,6BFFC9,Frasiwassents
131,88EEC8,Hydraquents
133,7FFFC8,Psammaquents
134,81FFD2,Psammowassents
135,86F0D4,Quartzipsamments
136,67FFC8,Sulfaquents
137,88EEC8,Sulfiwassents
138,7FFBCB,Torrifluvents
139,87FFD2,Torriorthents
140,8AF5CE,Torripsamments
141,6BFAD2,Udifluvents
142,78F0D4,Udipsamments
143,88EEC8,Udorthents
144,7FFBD4,Ustifluvents
145,73F5CD,Ustipsamments
146,88C8D2,Ustorthents
147,91F0CD,Xerofluvents
148,73CDD2,Xeropsamments
149,88EEC8,Xerorthents
